  ID    STATEFP STUSPS     xmin        ymin         xmax        ymax      Name
  1     01      AL      -88.473227   30.223334   -84.889080   35.008028   Alabama
  2     02      AK     -179.148909   51.214183   179.778470   71.365162   Alaska
  3     60      AS     -171.089874  -14.548699  -168.143300  -11.046934   American Samoa
  4     04      AZ     -114.816510   31.332177  -109.045223   37.004260   Arizona
  5     05      AR      -94.617919   33.004106   -89.644395   36.499600   Arkansas
  6     06      CA     -124.409591   32.534156  -114.131211   42.009518   California
  7     08      CO     -109.060253   36.992426  -102.041524   41.003444   Colorado
  8     69      MP      144.886331   14.110472   146.064818   20.553802   Commonwealth of the Northern Mariana Islands
  9     09      CT      -73.727775   40.980144   -71.786994   42.050587   Connecticut
  10    10      DE      -75.788658   38.451013   -75.048939   39.839007   Delaware
  11    11      DC      -77.119759   38.791645   -76.909395   38.995110   District of Columbia
  12    12      FL      -87.634938   24.523096   -80.031362   31.000888   Florida
  13    13      GA      -85.605165   30.357851   -80.839729   35.000659   Georgia
  14    66      GU     144.6180680   13.234189   144.956712   13.654383   Guam
  15    15      HI     -178.334698   18.910361  -154.806773   28.402123   Hawaii
  16    16      ID     -117.243027   41.988057  -111.043564   49.001146   Idaho
  17    17      IL      -91.513079   36.970298   -87.494756   42.508481   Illinois
  18    18      IN      -88.097760   37.771742   -84.784579   41.760592   Indiana
  19    19      IA      -96.639704   40.375501   -90.140061   43.501196   Iowa
  20    20      KS     -102.051744   36.993016   -94.588413   40.003162   Kansas
  21    21      KY      -89.571509   36.497129   -81.964971   39.147458   Kentucky
  22    22      LA      -94.043147   28.928609   -88.817017   33.019457   Louisiana
  23    23      ME      -71.083924   42.977764   -66.949895   47.459686   Maine
  24    24      MD      -79.487651   37.911717   -75.048939   39.723043   Maryland
  25    25      MA      -73.508142   41.237964   -69.928393   42.886589   Massachusetts
  26    26      MI      -90.418136   41.696118   -82.413474   48.238800   Michigan
  27    27      MN      -97.239209   43.499356   -89.491739   49.384358   Minnesota
  28    28      MS      -91.655009   30.173943   -88.097888   34.996052   Mississippi
  29    29      MO      -95.774704   35.995683   -89.098843   40.613640   Missouri
  30    30      MT     -116.050003   44.358221  -104.039138   49.001390   Montana
  31    31      NE     -104.053514   39.999998   -95.308290   43.001708   Nebraska
  32    32      NV     -120.005746   35.001857  -114.039648   42.002207   Nevada
  33    33      NH      -72.557247   42.696990   -70.610621   45.305476   New Hampshire
  34    34      NJ      -75.559614   38.928519   -73.893979   41.357423   New Jersey
  35    35      NM     -109.050173   31.332301  -103.001964   37.000232   New Mexico
  36    36      NY      -79.762152   40.496103   -71.856214   45.015850   New York
  37    37      NC      -84.321869   33.842316   -75.460621   36.588117   North Carolina
  38    38      ND      -104.04890   45.935054   -96.554507   49.000574   North Dakota
  39    39      OH      -84.820159   38.403202   -80.518693   41.977523   Ohio
  40    40      OK     -103.002565   33.615833   -94.430662   37.002206   Oklahoma
  41    41      OR     -124.566244   41.991794  -116.463504   46.292035   Oregon
  42    42      PA      -80.519891   39.719800   -74.689516   42.269860   Pennsylvania
  43    72      PR      -67.945404   17.883280   -65.220703   18.515683   Puerto Rico
  44    44      RI      -71.862772   41.146339   -71.120570   42.018798   Rhode Island
  45    45      SC      -83.353910   32.034600   -78.542030   35.215402   South Carolina
  46    46      SD     -104.057698   42.479635   -96.436589   45.945450   South Dakota
  47    47      TN      -90.310298   34.982972   -81.646900   36.678118   Tennessee
  48    48      TX     -106.645646   25.837377   -93.508292   36.500704   Texas
  49    78      VI      -65.085452   17.673976   -64.564907   18.412655   United States Virgin Islands
  50    49      UT     -114.052962   36.997968  -109.041058   42.001567   Utah
  51    50      VT      -73.437740   42.726853   -71.464555   45.016659   Vermont
  52    51      VA      -83.675395   36.540738   -75.242266   39.466012   Virginia
  53    53      WA     -124.763068   45.543541  -116.915989   49.002494   Washington
  54    54      WV      -82.644739   37.201483   -77.719519   40.638801   West Virginia
  55    55      WI      -92.888114   42.491983   -86.805415   47.080621   Wisconsin
  56    56      WY     -111.056888   40.994746  -104.052160   45.005904   Wyoming
