I.wav     	I     	
a.wav     	a     	
about.wav 	about 	
all.wav   	all   	
an.wav    	an    	
and.wav   	and   	
are.wav   	are   	
as.wav    	as    	
- at -    	at    	
be.wav    	be    	
been.wav  	been  	
but.wav   	but   	
by.wav    	by    	
call.wav  	call  	
can.wav   	can   	
come.wav  	come  	
could.wav 	could 	
day.wav   	day   	
dew.wav   	DEW   	
did.wav   	did   	
do.wav    	do    	
down.wav  	down  	
each.wav  	each  	
find.wav  	find  	
first.wav 	first 	
- for -   	for   	
four.wav        FOUR
- from -  	from  	
get.wav   	get   	
go.wav    	go    	
had.wav   	had   	
has.wav   	has   	
have.wav  	have  	
he.wav    	he    	
her.wav   	her   	
- him -   	him   	
- his -   	his   	
how.wav   	how   	
if.wav    	if    	
in.wav    	in    	
into.wav  	into  	
is.wav    	is    	
it.wav    	it    	
its.wav   	its   	
know.wav  	KNOW  	
- like -  	like  	
long.wav  	long  	
look.wav  	look  	
made.wav  	made  	
maid.wav  	MAID  	
make.wav  	make  	
many.wav  	many  	
may.wav   	may   	
more.wav  	more  	
my.wav    	my    	
no.wav    	no    	
not.wav   	not   	
now.wav   	now   	
number.wav	number	
of.wav    	of    	
oil.wav   	oil   	
- on -    	on    	
one.wav   	one   	
or.wav    	or    	
other.wav 	other 	
out.wav   	out   	
part.wav  	part  	
people.wav	people	
right.wav 	RIGHT 	
said.wav  	said  	
see.wav   	see   	
sew.wav   	SEW   	
she.wav   	she   	
so.wav    	so    	
some.wav  	some  	
than.wav  	than  	
that.wav  	that  	
the.wav   	the   	
their.wav 	their 	
them.wav  	them  	
then.wav  	then  	
there.wav 	there 	
these.wav 	these 	
they.wav  	they  	
this.wav  	this  	
time.wav  	time  	
to.wav    	to    	
too.wav   	TOO   	
two.wav   	two   	
up.wav    	up    	
use.wav   	use   	
was.wav   	was   	
water.wav 	water 	
way.wav   	way   	
we.wav    	we    	
weigh.wav 	WEIGH 	
were.wav  	were  	
what.wav  	what  	
when.wav  	when  	
which.wav 	which 	
who.wav   	who   	
will.wav  	will  	
witch.wav 	WITCH 	
with.wav  	with  	
wood.wav  	WOOD  	
word.wav  	word  	
would.wav 	would 	
write.wav 	write 	
you.wav   	you   	
your.wav  	your  	
